SplitID,SplitIndex,Split,StrokeRate
6705,2,3016,
6705,4,6437,
6705,6,9974,
6705,8,13349,
6706,2,3536,
6706,4,7319,
6707,2,3643,
6707,4,7773,
6708,4,8959,
6709,4,8400,
6711,2,3507,
6711,4,7840,
6712,2,4199,
6712,4,8591,
6713,2,3350,
6713,4,7183,
6713,6,11269,
6713,8,15512,
6714,2,3225,
6714,4,6769,
6715,2,2998,
6715,4,6378,
6715,6,9957,
6715,8,13752,
6715,10,17781,
6715,12,21904,
6715,14,26128,
6715,16,34520,
6715,18,38516,
6715,20,41571,
6716,2,3692,
6716,4,7602,
6717,2,4024,
6717,4,9782,
6718,2,6031,
6718,4,13745,
6720,2,4394,
6720,4,9325,
6722,2,3643,
6722,4,7816,
6724,2,3946,
6724,4,9293,
6725,2,3581,
6725,4,8454,
6726,2,4121,
6726,4,8693,
6727,2,3489,
6727,4,7307,
6727,6,11637,
6727,8,15891,
6728,2,3364,
6728,4,7212,
6730,2,4051,
6730,4,9078,
6731,2,3421,
6731,4,7788,
6731,6,12529,
6731,8,17050,
6732,2,3696,
6732,4,8174,
6732,6,12951,
6732,8,17880,
6732,10,22888,
6732,12,27863,
6732,14,32948,
6732,16,38212,
6732,18,43230,
6732,20,47611,
6734,2,4409,
6734,4,9620,
6735,2,3098,
6735,4,6541,
6735,6,10250,
6735,8,13996,
6736,2,3224,
6736,4,6865,
6736,6,10682,
6736,8,14552,
6736,10,18459,
6736,12,22382,
6736,14,26338,
6736,16,30277,
6736,18,34168,
6736,20,38024,
6737,2,3512,
6737,4,7499,
6738,2,3871,
6738,4,8420,
6740,2,3795,
6740,4,8382,
6742,2,4156,
6742,4,9138,
6743,2,3889,
6743,4,7953,
6743,6,13373,
6743,8,17909,
6744,2,3259,
6744,4,6792,
6745,2,3310,
6745,4,7182,
6745,6,11366,
6745,8,15421,
6746,2,3147,
6746,4,6495,
6747,2,3621,
6747,4,8294,
6748,2,4191,
6748,4,8695,
6750,2,4945,
6750,4,10501,
6752,2,3683,
6752,4,7756,
6754,4,8147,
6756,4,8777,
6757,2,3623,
6757,4,7778,
6757,6,12352,
6757,8,16168,
6758,2,3231,
6758,4,7036,
6758,6,11005,
6758,8,15082,
6758,10,19137,
6758,12,23256,
6758,14,27321,
6758,16,31461,
6758,18,35614,
6758,20,39541,
6760,2,3146,
6760,4,7006,
6761,2,3316,
6761,4,7248,
6762,2,3645,
6762,4,7685,
6763,2,3856,
6763,4,7971,
6763,6,13213,
6763,8,17133,
6764,2,3582,
6764,4,7654,
6764,6,11990,
6764,8,16449,
6764,10,21040,
6764,12,25635,
6764,14,30229,
6764,16,34876,
6764,18,39191,
6764,20,43013,
6765,2,3309,
6765,4,7629,
6765,6,12474,
6765,8,17420,
6766,4,8148,
6766,6,12979,
6766,8,17824,
6766,10,22766,
6766,12,27926,
6766,14,33158,
6766,16,38378,
6766,18,43808,
6766,20,48747,
6767,2,2801,
6767,4,6665,
6767,6,11216,
6767,8,14832,
6768,2,2837,
6768,4,6141,
6769,2,3382,
6769,4,7557,
6769,6,12258,
6769,8,15739,
6770,2,3728,
6770,4,7735,
6771,2,3284,
6771,4,6999,
6771,6,10910,
6771,8,14691,
6772,2,3027,
6772,4,6376,
6774,2,3052,
6774,4,6468,
6776,2,4733,
6776,4,10606,
6778,2,2836,
6778,4,5845,
6780,2,3965,
6780,4,8669,
6782,2,4358,
6782,4,9544,
6784,2,4527,
6784,4,9653,
6785,2,3438,
6785,4,7554,
6785,6,11733,
6785,8,15910,
6785,10,20255,
6785,12,24804,
6785,14,29320,
6785,16,33837,
6785,18,38395,
6785,20,42660,
6786,2,4178,
6786,4,9060,
6788,2,4840,
6788,4,10088,
6789,2,4439,
6789,4,9926,
6790,2,5111,
6790,4,12309,
6792,2,4594,
6792,4,9909,
6794,2,6902,
6794,4,14873,
6795,2,3525,
6795,4,8091,
6795,6,13170,
6795,8,17017,
6796,2,3079,
6796,4,6544,
6798,2,3989,
6798,4,8753,
6800,2,4647,
6800,4,9925,
6801,2,3584,
6801,4,7583,
6802,2,4435,
6802,4,9453,
