MEET,MNAME,START,END,AGEUP,SINCE,COURSE,REMARKS,INDCHARGE,RELCHARGE,SURCHARGE,TYPE,SANCTION,MaxIndEnt,MaxRelEnt,MaxEnt,Location,RestrictBest,NonConform,EnforceQualifying,EnterAtQTime,MinAge,FacilityFee,TeamFee,Instructions,Altitude,EnforceSlowQtime,BanNoTimes,Lanes,EvenOrOdd,FastToSlow,Masters,ActiveFeeXMLSent,MinAge10AndUnder,SeedLanes,DeadLine,ActiveMeetID,OnlyPreEntered,CustIndCharge,CustRelCharge,CustSurCharge,CustIndAction,CustRelAction,CustSurAction,UseCustomFees,Addr,Addr2,City,State,ZIP,Cntry,OMEEntryStyle,SwimmerEntryDeadLine,SwimmerEntryOpen,AllowCustomTimes,ExportEntriesDate,LastSyncDate,FinalizeEntriesDate,UseSwimmersTeam,HonorInviteList,EntryTeam,EMailFrom,EMailSubject,EMailText,EntryEMailFrom,EntryEMailSubject,EntryEMailText,OMEBillDate,InviteEmailDate,CollectFeesOnline,OMEValidated,OMECustomTeam,OMEFilterTeam,OMENeedSync,License,OMENeedsSync,MeetSharingStatus,FileExportType,MeetRegistrationOpens,MeetRegistrationCloses,MeetSharingMeetID,MeetSharingPayStatus,MeetSharingResultDate,EV3Version
87,"2004 VSIS State Championship","02/20/04 00:00:00","02/21/04 00:00:00",,,"Y",,0,0,0,,,0,0,0,"Mid-Town Aquatic Club, Newport News, VA",0,0,0,0,0,,,,,0,0,,,0,0,0,,,,,0,,,,,,,0,,,,,,,,,,0,,,,0,0,,,,,,,,,,0,0,0,,0,,0,,,,,,,,
88,"2004 A/BB Champs","02/28/04 00:00:00","02/29/04 00:00:00",,,"Y",,0,0,0,,,0,0,0,"Jamerson YMCA, Lynchburg, VA",0,0,0,0,0,,,,,0,0,,,0,0,0,,,,,0,,,,,,,0,,,,,,,,,,0,,,,0,0,,,,,,,,,,0,0,0,,0,,0,,,,,,,,
89,"2004 Senior Champs","03/06/04 00:00:00","03/07/04 00:00:00",,,"Y",,0,0,0,,,0,0,0,"George Mason University",0,0,0,0,0,,,,,0,0,,,0,0,0,,,,,0,,,,,,,0,,,,,,,,,,0,,,,0,0,,,,,,,,,,0,0,0,,0,,0,,,,,,,,
90,"Area 4 2004 Mini B/C Champs","02/20/04 00:00:00","02/20/04 00:00:00",,,"Y",,0,0,0,,,0,0,0,"Chinn Center",0,0,0,0,0,,,,,0,0,,,0,0,0,,,,,0,,,,,,,0,,,,,,,,,,0,,,,0,0,,,,,,,,,,0,0,0,,0,,0,,,,,,,,
91,"2003 BASS Mini B/C Winter Invitational","11/22/03 00:00:00","11/22/03 00:00:00",,,"Y",,0,0,0,,,0,0,0,"Woodberry Forest",0,0,0,0,0,,,,,0,0,,,0,0,0,,,,,0,,,,,,,0,,,,,,,,,,0,,,,0,0,,,,,,,,,,0,0,0,,0,,0,,,,,,,,
92,"Snowflake Classic Meet","01/31/04 00:00:00","01/31/04 00:00:00",,,"Y",,0,0,0,,,0,0,0,,0,0,0,0,0,,,,,0,0,,,0,0,0,,,,,0,,,,,,,0,,,,,,,,,,0,,,,0,0,,,,,,,,,,0,0,0,,0,,0,,,,,,,,
93,"First Annual New Year's Swim Meet","01/03/04 00:00:00","01/03/04 00:00:00",,,"Y",,0,0,0,,,0,0,0,,0,0,0,0,0,,,,,0,0,,,0,0,0,,,,,0,,,,,,,0,,,,,,,,,,0,,,,0,0,,,,,,,,,,0,0,0,,0,,0,,,,,,,,
94,"2004 Long Course Senior Champs","07/09/04 00:00:00","07/11/04 00:00:00",,,"L",,0,0,0,,,0,0,0,"George Mason University",0,0,0,0,0,,,,,0,0,,,0,0,0,,,,,0,,,,,,,0,,,,,,,,,,0,,,,0,0,,,,,,,,,,0,0,0,,0,,0,,,,,,,,
95,"2004 Speedo Southern Sectional","07/22/04 00:00:00","07/25/04 00:00:00",,,"L",,0,0,0,,,0,0,0,"Ft. Lauderdale, FL",0,0,0,0,0,,,,,0,0,,,0,0,0,,,,,0,,,,,,,0,,,,,,,,,,0,,,,0,0,,,,,,,,,,0,0,0,,0,,0,,,,,,,,
96,"2004-2005 Pre-Season Time Trials","11/19/04 00:00:00","11/19/04 00:00:00",,,"Y",,0,0,0,,,0,0,0,"Fauquier Area Swim Team Aquatic Center",0,0,0,0,0,,,,,0,0,,,0,0,0,,,,,0,,,,,,,0,,,,,,,,,,0,,,,0,0,,,,,,,,,,0,0,0,,0,,0,,,,,,,,
